乾上乾下: 乾卦 乾为天 乾上乾下
坤上坤下: 坤卦 坤为地 坤上坤下
坎上震下: 屯卦 水雷屯 坎上震下
艮上坎下: 蒙卦 山水蒙 艮上坎下
坎上乾下: 需卦 水天需 坎上乾下
乾上坎下: 讼卦 天水讼 乾上坎下
坤上坎下: 师卦 地水师 坤上坎下
坎上坤下: 比卦 水地比 坎上坤下
巽上乾下: 小畜卦 风天小畜 巽上乾下
乾上兑下: 履卦 天泽履 乾上兑下
坤上乾下: 泰卦 地天泰 坤上乾下
乾上坤下: 否卦 天地否 乾上坤下
乾上离下: 同人卦 天火同人 乾上离下
离上乾下: 大有卦 火天大有 离上乾下
坤上艮下: 谦卦 地山谦 坤上艮下
震上坤下: 豫卦 雷地豫 震上坤下
兑上震下: 随卦 泽雷随 兑上震下
艮上巽下: 蛊卦 山风蛊 艮上巽下
坤上兑下: 临卦 地泽临 坤上兑下
巽上坤下: 观卦 风地观 巽上坤下
离上震下: 噬嗑卦 火雷噬嗑 离上震下
艮上离下: 贲卦 山火贲 艮上离下
艮上坤下: 剥卦 山地剥 艮上坤下
坤上震下: 复卦 地雷复 坤上震下
乾上震下: 无妄卦 天雷无妄 乾上震下
艮上乾下: 大畜卦 山天大畜 艮上乾下
艮上震下: 颐卦 山雷颐 艮上震下
兑上巽下: 大过卦 泽风大过 兑上巽下
坎上坎下: 坎卦 坎为水 坎上坎下
离上离下: 离卦 离为火 离上离下
兑上艮下: 咸卦 泽山咸 兑上艮下
震上巽下: 恒卦 雷风恒 震上巽下
乾上艮下: 遁卦 天山遁 乾上艮下
震上乾下: 大壮卦 雷天大壮 震上乾下
离上坤下: 晋卦 火地晋 离上坤下
坤上离下: 明夷卦 地火明夷 坤上离下
巽上离下: 家人卦 风火家人 巽上离下
离上兑下: 睽卦 火泽睽 离上兑下
坎上艮下: 蹇卦 水山蹇 坎上艮下
震上坎下: 解卦 雷水解 震上坎下
艮上兑下: 损卦 山泽损 艮上兑下
巽上震下: 益卦 风雷益 巽上震下
兑上乾下: 夬卦 泽天夬 兑上乾下
乾上巽下: 姤卦 天风姤 乾上巽下
兑上坤下: 萃卦 泽地萃 兑上坤下
坤上巽下: 升卦 地风升 坤上巽下
兑上坎下: 困卦 泽水困 兑上坎下
坎上巽下: 井卦 水风井 坎上巽下
兑上离下: 革卦 泽火革 兑上离下
离上巽下: 鼎卦 火风鼎 离上巽下
震上震下: 震卦 震为雷 震上震下
艮上艮下: 艮卦 艮为山 艮上艮下
巽上艮下: 渐卦 风山渐 巽上艮下
震上兑下: 归妹卦 雷泽归妹 震上兑下
震上离下: 丰卦 雷火丰 震上离下
离上艮下: 旅卦 火山旅 离上艮下
巽上巽下: 巽卦 巽为风 巽上巽下
兑上兑下: 兑卦 兑为泽 兑上兑下
巽上坎下: 涣卦 风水涣 巽上坎下
坎上兑下: 节卦 水泽节 坎上兑下
巽上兑下: 中孚卦 风泽中孚 巽上兑下
震上艮下: 小过卦 雷山小过 震上艮下
坎上离下: 既济卦 水火既济 坎上离下
离上坎下: 未济卦 火水未济 离上坎下
